mol_id,mean_nll,max_nll,n_atoms,ensemble_std,abs_error,seed_rmse,quadrant_label,is_wrong18,is_certain47,group
mobley_2789243,26.16900634765625,41.86501693725586,11,0.250348,0.980047,1.005302023708597,high_std_high_rmse,False,False,other
mobley_3968739,14.70494556427002,35.629695892333984,18,0.091785,0.150142,0.1711203688997891,low_std_low_rmse,False,True,certain47
mobley_63712,16.734704971313477,28.457521438598633,20,0.155747,0.673839,0.6880872435772951,high_std_high_rmse,False,False,other
mobley_1046331,16.91910171508789,40.77646255493164,15,0.162749,0.431888,0.4557595019538264,high_std_high_rmse,False,False,other
mobley_1160109,16.936006546020508,36.34844207763672,27,0.094937,0.152691,0.1747139194952709,low_std_low_rmse,False,True,certain47
mobley_4149784,18.161693572998047,29.997303009033203,22,0.173555,0.304051,0.3413859252245177,high_std_low_rmse,False,False,other
mobley_397645,12.921361923217773,29.479516983032227,21,0.088408,0.218903,0.2327477930460353,low_std_low_rmse,False,True,certain47
mobley_4690963,16.108675003051758,25.439477920532227,22,0.240711,0.697987,0.7304377114167914,high_std_high_rmse,False,False,other
mobley_1967551,31.66883659362793,46.884056091308594,7,0.057736,0.080715,0.0958209104851336,low_std_low_rmse,False,True,certain47
mobley_6733657,124.6622314453125,1213.574462890625,24,0.341453,1.828977,1.8542997814672253,high_std_high_rmse,False,False,other
mobley_9565165,14.283288955688477,30.022802352905273,23,0.177898,0.212707,0.2656355540559283,high_std_low_rmse,False,False,other
mobley_2487143,10.621760368347168,30.506040573120117,19,0.096472,0.037202,0.0939649733230419,low_std_low_rmse,False,True,certain47
mobley_8449031,20.333385467529297,41.55607604980469,22,0.129186,1.012433,1.019004920989001,low_std_high_rmse,True,False,gradient12
mobley_172879,12.174176216125488,27.932449340820312,22,0.182181,0.113362,0.1985016313766715,high_std_low_rmse,False,False,other
mobley_5346580,33.736900329589844,328.374267578125,19,0.133044,0.176327,0.2127248996370663,low_std_low_rmse,False,True,certain47
mobley_3573480,9.706095695495605,28.080469131469727,22,0.094797,0.052288,0.0996150127400484,low_std_low_rmse,False,True,certain47
mobley_1075836,18.1437931060791,29.045940399169922,14,0.076377,0.13008,0.1469274089406056,low_std_low_rmse,False,True,certain47
mobley_6102880,11.4757080078125,29.6579647064209,23,0.141753,0.015531,0.1277352591925973,low_std_low_rmse,False,True,certain47
mobley_1827204,11.148523330688477,29.86313247680664,19,0.023275,0.1297,0.1313605093854312,low_std_low_rmse,False,True,certain47
mobley_2146331,43.2370719909668,63.7714958190918,4,0.2871,1.092694,1.12246253440175,high_std_high_rmse,False,False,other
mobley_7943327,14.643134117126465,26.482872009277344,17,0.086484,0.041188,0.0876355289217791,low_std_low_rmse,False,True,certain47
mobley_5110043,14.629383087158203,21.71717643737793,24,0.15365,0.304087,0.3336998014821105,high_std_low_rmse,False,False,other
mobley_5616693,15.961885452270508,25.90825843811035,29,0.182904,0.66032,0.6802832462313034,high_std_high_rmse,False,False,other
mobley_6619554,11.847582817077637,31.498292922973633,23,0.076218,0.067886,0.0962073001523274,low_std_low_rmse,False,True,certain47
mobley_6359156,17.00644302368164,29.024343490600586,22,0.196957,0.649604,0.6730664996964267,high_std_high_rmse,False,False,other
mobley_1781152,48.02082443237305,627.4330444335938,20,0.146737,0.115716,0.1749729199647761,low_std_low_rmse,False,True,certain47
mobley_859464,16.395288467407227,31.286970138549805,20,0.085614,0.097102,0.1236627084403378,low_std_low_rmse,False,True,certain47
mobley_7150646,20.173295974731445,30.33949851989746,12,0.070614,0.546175,0.5498146794087985,low_std_high_rmse,True,False,isolated6
mobley_1592519,11.015746116638184,27.438528060913086,26,0.092933,0.099261,0.1294676178795299,low_std_low_rmse,False,True,certain47
mobley_5538249,20.34992218017578,30.120941162109375,22,0.117499,0.031378,0.1096783788018403,low_std_low_rmse,False,True,certain47
mobley_6911232,19.077085494995117,27.887256622314453,12,0.083319,0.335707,0.3438788306848795,low_std_low_rmse,False,True,certain47
mobley_3269565,17.557661056518555,29.824199676513672,15,0.063104,0.454734,0.4582234662031177,low_std_high_rmse,True,False,gradient12
mobley_2484519,17.79240608215332,42.76666259765625,15,0.060062,0.134748,0.1450625131286508,low_std_low_rmse,False,True,certain47
mobley_7690440,30.748184204101562,46.622474670410156,10,0.112087,0.474423,0.4848998102309383,low_std_high_rmse,True,False,isolated6
mobley_3802803,10.926934242248535,32.40530776977539,23,0.080633,0.079206,0.1071211954731649,low_std_low_rmse,False,True,certain47
mobley_1144156,14.492932319641113,26.11491584777832,15,0.088454,0.055814,0.0968220129330102,low_std_low_rmse,False,True,certain47
mobley_2481002,1378.980224609375,3188.584228515625,7,0.520246,1.604438,1.6705529007364,high_std_high_rmse,False,False,other
mobley_2489709,21.576398849487305,30.19385528564453,12,0.072225,0.092989,0.1132256049425218,low_std_low_rmse,False,True,certain47
mobley_5052949,14.180289268493652,31.154830932617188,21,0.071753,0.862238,0.8646227582783141,low_std_high_rmse,True,False,gradient12
mobley_2492140,963.4475708007812,2849.419677734375,8,0.192632,0.102875,0.2006712763267329,high_std_low_rmse,False,False,other
mobley_7542832,13.728918075561523,26.66951560974121,21,0.086518,0.021131,0.0802171633018769,low_std_low_rmse,False,True,certain47
mobley_7814642,25.5020809173584,55.57220458984375,12,0.071812,0.346927,0.3528223210436095,low_std_low_rmse,False,True,certain47
mobley_1563176,12.023677825927734,31.00591468811035,15,0.127154,0.3441,0.3624081160073543,low_std_high_rmse,True,False,gradient12
mobley_1873346,12.65866470336914,20.049772262573242,15,0.078018,0.004793,0.0699456239574714,low_std_low_rmse,False,True,certain47
mobley_3040612,14.955741882324219,31.401350021362305,21,0.068967,0.158054,0.1696653759015079,low_std_low_rmse,False,True,certain47
mobley_4483973,12.648564338684082,31.15871810913086,12,0.130105,0.822318,0.8305108765663457,low_std_high_rmse,True,False,gradient12
mobley_9913368,38.195133209228516,52.55021286010742,6,0.114728,0.973903,0.9792939248191016,low_std_high_rmse,True,False,isolated6
mobley_1449384,14.891034126281738,23.880849838256836,24,0.063839,0.416688,0.4205818309977263,low_std_high_rmse,True,False,gradient12
mobley_7708038,17.455549240112305,31.79399871826172,11,0.06761,0.007993,0.0609981784990339,low_std_low_rmse,False,True,certain47
mobley_8311321,50.800010681152344,65.81838989257812,5,0.212731,1.147372,1.1630418941817189,high_std_high_rmse,False,False,other
mobley_766666,57.28736877441406,71.40714263916016,6,0.113351,0.410338,0.422677009135581,low_std_high_rmse,True,False,isolated6
mobley_5445548,13.611807823181152,23.885013580322266,21,0.049632,0.092207,0.1023365677341193,low_std_low_rmse,False,True,certain47
mobley_9029594,36.00541305541992,70.82220458984375,5,0.149732,0.603781,0.6184553913992504,high_std_high_rmse,False,False,other
mobley_3370989,30.489646911621094,35.72427749633789,8,0.162863,0.395943,0.4218884967483707,high_std_high_rmse,False,False,other
mobley_627267,16.326454162597656,32.897254943847656,14,0.101311,0.009062,0.0910676974475582,low_std_low_rmse,False,True,certain47
mobley_6250025,8.293094635009766,33.680625915527344,20,0.082815,0.226865,0.2386516576112556,low_std_low_rmse,False,True,certain47
mobley_4252724,13.048347473144531,21.24385643005371,24,0.040885,0.401738,0.4033992906548052,low_std_high_rmse,True,False,gradient12
mobley_7157427,9.887592315673828,35.74684143066406,23,0.069558,0.087019,0.1069714278225732,low_std_low_rmse,False,True,certain47
mobley_8885088,20.65781593322754,31.506553649902344,13,0.08423,0.44199,0.4483649708367058,low_std_high_rmse,True,False,isolated6
mobley_8522124,9.833817481994629,32.26247024536133,22,0.03158,0.079021,0.083917442441962,low_std_low_rmse,False,True,certain47
mobley_4678740,24.824270248413086,36.753807067871094,18,0.17396,0.047235,0.1626059805905059,high_std_low_rmse,False,False,other
mobley_2689721,14.317182540893555,18.31103515625,18,0.088675,0.134371,0.1560328056102305,low_std_low_rmse,False,True,certain47
mobley_1662128,15.288010597229004,23.78447723388672,12,0.03899,0.14215,0.1463656507586392,low_std_low_rmse,False,True,certain47
mobley_4762983,9.699865341186523,22.580827713012695,21,0.031274,0.105555,0.1091983800630761,low_std_low_rmse,False,True,certain47
mobley_7732703,82.29399108886719,83.07337951660156,5,0.20132,0.609103,0.6351616017410057,high_std_high_rmse,False,False,other
mobley_2068538,14.088065147399902,23.075885772705078,11,0.063148,0.289895,0.2953460332250968,low_std_low_rmse,False,True,certain47
mobley_5157661,18.890121459960938,41.6779670715332,14,0.080221,0.04793,0.0862882818023397,low_std_low_rmse,False,True,certain47
mobley_1261349,904.426513671875,15115.4404296875,17,0.217181,0.07022,0.2065550990675368,high_std_low_rmse,False,False,other
mobley_2328633,12.369458198547363,27.846389770507812,30,0.186476,0.914592,0.9296762453893288,high_std_high_rmse,False,False,other
mobley_8436428,13.089903831481934,18.486705780029297,23,0.138614,0.076447,0.1456546917493562,low_std_low_rmse,False,True,certain47
mobley_3060426,34.862300872802734,562.3497314453125,29,0.28551,0.092126,0.2714771123424587,high_std_low_rmse,False,False,other
mobley_2197088,7.149034023284912,13.430856704711914,32,0.096115,0.024532,0.0894000595033359,low_std_low_rmse,False,True,certain47
