mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi
A,shrink_lambda0.9,all129,129,-1.544018873999443,4.835849751937984,3.2918308779385415,-3.0869765399558147,-0.42089109298413896
A,shrink_lambda0.9,gradient12,12,0.16886625939646607,2.9143908888888888,3.083257148285355,-0.2596107832144871,0.638799420363948
B,shrink_lambda0.9,Q_std,33,-5.944456453933929,10.464823232323234,4.520366778389303,-11.624847115159325,-1.7663016189609735
B,shrink_lambda0.9,Q_nll,33,-5.737715910017398,10.275718616161615,4.538002706144219,-11.544283592366448,-1.58240781630111
B,shrink_lambda0.9,UNION,50,-3.8770305779833074,8.293690380000001,4.416659802016693,-7.705705468981449,-1.0211446378171423
B,shrink_lambda0.9,all129,129,-1.5440188739994432,4.835849751937984,3.291830877938542,-3.116457119574876,-0.4116999701690776
B,shrink_lambda0.9,gradient12,12,0.16886625939646616,2.9143908888888888,3.0832571482853552,-0.2540018962714302,0.6402481604974182
A,shrink_lambda1.0,Q_std,33,-6.303690276155118,10.464823232323234,4.161132956168114,-12.476854230921072,-1.8380018234938569
A,shrink_lambda1.0,Q_nll,33,-6.065322364594745,10.275718616161615,4.210396251566872,-12.295845548407405,-1.5329343468831491
A,shrink_lambda1.0,UNION,50,-4.103266180329404,8.293690380000001,4.190424199670596,-8.333441858354059,-1.0816046117612665
A,shrink_lambda1.0,all129,129,-1.628959672167511,4.835849751937984,3.2068900797704742,-3.32767084555495,-0.43847756088063555
A,shrink_lambda1.0,gradient12,12,0.21713830234574596,2.9143908888888888,3.1315291912346352,-0.255453163597874,0.7490527205227514
B,shrink_lambda1.0,Q_std,33,-6.303690276155118,10.464823232323234,4.161132956168115,-12.526436241558429,-1.8085246152786734
B,shrink_lambda1.0,Q_nll,33,-6.065322364594745,10.275718616161615,4.2103962515668725,-12.310721662876544,-1.552385792203124
B,shrink_lambda1.0,UNION,50,-4.103266180329404,8.293690380000001,4.190424199670596,-8.215770697011925,-1.1056055102441036
B,shrink_lambda1.0,all129,129,-1.628959672167511,4.835849751937984,3.2068900797704742,-3.374263144369989,-0.43098619915222586
B,shrink_lambda1.0,gradient12,12,0.2171383023457459,2.9143908888888888,3.1315291912346352,-0.26082712486043497,0.7643864471434538
A,shrink_lambda1.1,Q_std,33,-5.97676771773353,10.464823232323234,4.4880555145897025,-11.589024169770761,-1.9177686263757452
A,shrink_lambda1.1,Q_nll,33,-5.714488426215661,10.275718616161615,4.561230189945956,-11.501849557868972,-1.6326109348964395
A,shrink_lambda1.1,UNION,50,-3.8766385714512683,8.293690380000001,4.417051808548732,-7.651983886405093,-1.0648025685434066
A,shrink_lambda1.1,all129,129,-1.5362637584359164,4.835849751937984,3.299585993502068,-3.051345412966492,-0.3949927960182228
A,shrink_lambda1.1,gradient12,12,0.2654103452950259,2.9143908888888888,3.179801234183915,-0.2704820531030461,0.8405268840385768
B,shrink_lambda1.1,Q_std,33,-5.97676771773353,10.464823232323234,4.488055514589703,-11.61471531699672,-1.8953034644049718
B,shrink_lambda1.1,Q_nll,33,-5.714488426215661,10.275718616161615,4.561230189945956,-11.397353383133625,-1.5252128411760724
B,shrink_lambda1.1,UNION,50,-3.8766385714512683,8.293690380000001,4.417051808548732,-7.768828419625807,-1.045311298699461
B,shrink_lambda1.1,all129,129,-1.536263758435916,4.835849751937984,3.299585993502068,-3.0800669588830365,-0.4330881654362555
B,shrink_lambda1.1,gradient12,12,0.2654103452950259,2.9143908888888888,3.179801234183915,-0.2775680366174851,0.845738631614685
A,shrink_lambda1.2,Q_std,33,-5.451030044583167,10.464823232323234,5.013793187740065,-10.533196046722123,-1.8122331565894434
A,shrink_lambda1.2,Q_nll,33,-5.180285443135083,10.275718616161615,5.095433173026534,-10.225380501363833,-1.4161443517139716
